| Priority | Action                                                        | Why this matters                                                                                                                                                                      |      Impact | Effort |
| -------- | ------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------: | -----: |
| P1       | **Choose one page job for `/en-ae/dubai`**                    | Right now the page mixes blood tests, general at-home healthcare, longevity, supplements, and consults. That weakens clarity. ([Valeo Health][1])                                     |   Very high | Medium |
| P1       | **Fix title / H1 / intro alignment**                          | Title is blood-test-focused, H1 is “At-Home Healthcare,” intro is “Built for prevention, optimisation, & longevity.” Those are related but not the same intent. ([Valeo Health][1])   |   Very high |    Low |
| P1       | **Add one local proof block near the top**                    | Put Dubai service area, DHA-licensed professionals, core services, turnaround, booking modes, and support number together. Right now these signals are scattered. ([Valeo Health][1]) |        High |    Low |
| P1       | **Remove duplicated hero / repeated sections**                | “At-Home Healthcare,” “Built for prevention...,” “Your Personalized Health Journey,” and “Your Health, Reimagined” are repeated. That hurts hierarchy. ([Valeo Health][1])            |        High |    Low |
| P2       | **Separate hub content from commerce/catalog content**        | Supplements, product cards, doctor consult SKUs, and programs make the city landing page feel like a storefront. ([Valeo Health][1])                                                  |        High | Medium |
| P2       | **Standardize child service pages**                           | Use one template: city + service in title, clean H1, one-line summary, local proof, FAQ, CTA. The parent page suggests inconsistency deeper in the site. ([Valeo Health][1])          | Medium-high | Medium |
| P3       | **Replace vague brand language with specific retrieval text** | “Smart Health Insights” and “Science-Backed Journeys” are weak compared with concrete phrases like turnaround, DHA-licensed team, city coverage, service types. ([Valeo Health][1])   |      Medium |    Low |
| P3       | **Tighten press/social-proof section**                        | Keep one proof section, not repeated blurbs. Repetition lowers trust density. ([Valeo Health][1])                                                                                     |      Medium |    Low |

[1]: https://feelvaleo.com/en-ae/dubai "Blood Lab Test At Home in Dubai - Free Sample Collection | Vaelo Health | Valeo Health"
