| Factor                             | Why it matters for AI search                                                 |     Valeo |      FRH | Winner | Evidence / example from your data                                                                                                                                                                                                                                                                                         |
| ---------------------------------- | ---------------------------------------------------------------------------- | --------: | -------: | ------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Title/H1 intent alignment          | Models classify page purpose from title + H1 + intro alignment               |  **3/10** | **8/10** | FRH    | **Valeo:** title = `Blood Lab Test At Home in Dubai...`, but H1 = `At-Home Healthcare` twice. That is a direct intent mismatch. **FRH:** title = `Home Healthcare Services Available 24x7 in UAE & Qatar`, H1 = `24x7 Expert Home Healthcare Services with Tailored Solutions` — aligned.                                 |
| Heading cleanliness                | Clean heading hierarchy makes extraction more reliable                       |  **3/10** | **9/10** | FRH    | **Valeo:** H1 appears twice: `At-Home Healthcare`, `At-Home Healthcare`. H2 duplicates too: `Your Health, Reimagined` twice, `Lab Test at Home in Dubai – Simple, Convenient & DHA-Approved` twice, `Comprehensive Healthcare, Right at Home` twice. **FRH:** one H1, three H2s, one H3.                                  |
| Page focus                         | Mixed pages are harder for AI to summarize and rank for one intent           |  **2/10** | **8/10** | FRH    | **Valeo:** same page contains `At-home IV Therapy`, `At-home Blood Testing`, `Weight Loss Program`, `Doctor on Call`, `Physiotherapy`, `Supplements`, `Newborn Care`, `Get your Peptides`. This is too many top-level intents on one URL. **FRH:** homepage is a broad brand page, but still coherent as home healthcare. |
| Extractable text depth             | More plain text gives AI more retrieval surface                              |  **9/10** | **5/10** | Valeo  | **Valeo:** `textLength: 10150`. **FRH:** `textLength: 2892`. Valeo simply exposes much more textual surface.                                                                                                                                                                                                              |
| Service breadth visible in HTML    | More visible service entities can match more query variants                  | **10/10** | **8/10** | Valeo  | **Valeo examples:** links/categories include `Women’s Health`, `Men's Health`, `DNA Tests`, `Hormone Tests`, `Sexual Health`, `Physiotherapy`, `IV Therapy`, `GLP-1 Weight Loss`, `Doctor on Call`, `Newborn Care`, `Peptides`. **FRH:** also broad, but less dense on homepage.                                          |
| Internal link graph                | Strong internal linking helps crawlers/models traverse service graph         |  **9/10** | **8/10** | Valeo  | **Valeo:** huge link set across categories, services, consultations, products, city/service routes. **FRH:** also strong links, e.g. `doctor-on-call`, `home-nursing-services`, `physiotherapy`, `health-checkup`, `corporate-wellness`, but less extensive.                                                              |
| Schema quality                     | Good schema strengthens entity confidence and local/service understanding    |  **7/10** | **8/10** | FRH    | **Valeo:** has Organization, WebPage, LocalBusiness, MedicalBusiness, Breadcrumb, but includes duplicate Organization schema and `geo` with `latitude:0, longitude:0`. **FRH:** LocalBusiness includes full street address and real geo coords `25.1093436, 55.183759...`; cleaner trust signal.                          |
| Local trust/entity grounding       | Real local business details increase confidence for local healthcare queries |  **5/10** | **8/10** | FRH    | **Valeo:** city-specific schema exists, but geo is placeholder `0,0`; page leans more catalog than grounded local medical entity. **FRH:** full Dubai address, phone, 24x7 opening hours, geo coordinates.                                                                                                                |
| Content discipline                 | Less noise = easier extraction of key facts                                  |  **3/10** | **8/10** | FRH    | **Valeo:** page includes supplements (`Valeo Hair+`, `Shilajit`, `Creatine`, `Matcha`), consultations, ambassador program, press, app download, all mixed into a city healthcare page. **FRH:** much less merchandising clutter in headings.                                                                              |
| Entity/service extraction ease     | Simple DOM makes it easier to infer brand = category + services + location   |  **7/10** | **8/10** | FRH    | **Valeo:** lots of entities, but many are mixed: `Lab tests`, `supplements`, `consultations`, `programs`, `affiliate`, `ambassador`. Strong breadth, weaker clarity. **FRH:** fewer headings but cleaner business identity.                                                                                               |
| Commercial discoverability breadth | Broad service catalog helps show up across many long-tail prompts            |  **9/10** | **7/10** | Valeo  | **Valeo:** many long-tail service URLs like `comprehensive-std-test`, `advanced-female-blood-test`, `gut-health-package`, `doctor-at-hotel`, `physiotherapy-at-home`, `hpv-vaccine-at-home`, etc.                                                                                                                         |
| AI search readiness overall        | Balance of clarity + coverage + trust                                        |  **6/10** | **8/10** | FRH    | **Valeo’s problem is not lack of content; it is conflicted signals.** Best proof: title says blood test, H1 says at-home healthcare, body sells everything from blood tests to supplements to peptides.                                                                                                                   |
