| Priority | Action                                                          | Why it matters for LLM visibility                                                                                                                                         | Exact issue in current HTML                                                                                                                                                              | Specific fix                                                                         | Example                                                                                                                                           |
| -------- | --------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------- |
| **P1**   | Align title with actual page role                               | Highest-impact fix. Title is one of the strongest extraction signals. If title says “blood test” but page is actually a broader healthcare hub, models get mixed signals. | Current title/meta are blood-test-specific: **“Blood Lab Test At Home in Dubai…”** while schema and body expose broader healthcare, weight loss, IV drips, doctor on call.               | Change title/meta to reflect the true multi-service hub.                             | **Title:** At-Home Healthcare in Dubai | Blood Tests, Weight Loss & Home Medical Services | Valeo Health                                          |
| **P1**   | Rewrite hero intro to state all 3 pillars plainly               | The first visible block is what many extractors and models latch onto fastest.                                                                                            | Current visible hero/H1 layer is weaker and more abstract, while stronger service breadth exists elsewhere in the page.                                                                  | Make the first 2–3 lines factual: category + city + top service pillars.             | **Intro:** At-home healthcare in Dubai, including blood tests at home, weight loss programs, IV drips, doctor consultations, and preventive care. |
| **P1**   | Keep one primary H1, then use pillar H2s                        | This helps the page preserve breadth without becoming semantically muddy.                                                                                                 | Page currently expresses multiple intents, but not in a clear hierarchy. Blood tests dominate metadata, while broader categories are lower in content.                                   | Use: H1 = broad category, then H2s for each pillar.                                  | **H1:** At-Home Healthcare in Dubai; **H2s:** Blood Tests at Home, Weight Loss Programs, Home Medical Services                                    |
| **P1**   | Add a top “What we offer in Dubai” block                        | Strong for extractibility and retrieval. Converts scattered services into a clean semantic list.                                                                          | Valeo already contains services like blood tests, IV drips, newborn care, doctor consultations, supplements, weight management, but they are spread across cards/links/embedded content. | Add a short visible service summary block near hero.                                 | **What we offer:** Blood tests at home, weight loss programs, IV drips, doctor on call, doctor at home, preventive health packages                |
| **P2**   | Add a visible trust/proof strip near top                        | Helps models attach reliable qualifiers to the brand, not just services.                                                                                                  | Schema already exposes phone, email, Dubai locality, UAE, hours, languages; but this is under-leveraged in visible top copy.                                                             | Surface those facts in plain HTML text.                                              | **Dubai coverage · English & Arabic support · Open daily 8:00–22:00 · Book online or by phone**                                                   |
| **P2**   | Make weight loss a first-class pillar, not a buried link        | If weight loss is strategically important, it should not appear as just one item in a long sentence.                                                                      | Weight loss is present in body content but not reflected in title/H1/top structure.                                                                                                      | Give it a dedicated section above the fold or early on-page.                         | **H2:** Weight Loss Programs in Dubai; **copy:** doctor-led weight loss and metabolic support at home                                             |
| **P2**   | Make blood tests one pillar, not the whole identity of the page | This lets Valeo rank/extract for blood tests without collapsing the page into a single-intent landing page.                                                               | Blood tests currently dominate metadata too much versus the broader proposition.                                                                                                         | Keep strong blood-test section, but reposition as a pillar under healthcare hub.     | **H2:** Blood Tests at Home in Dubai; **copy:** home sample collection, health packages, lab services                                             |
| **P2**   | Add a “Why choose Valeo in Dubai” section                       | Improves trust extraction and brand memory.                                                                                                                               | Valeo has trust language like “trusted by thousands” and “licensed team,” but it should be more structured.                                                                              | Add 4–6 concise proof bullets.                                                       | **Licensed team · Personalized care · Convenient booking · At-home delivery across Dubai**                                                        |
| **P3**   | Make visible copy mirror schema                                 | Good cleanup fix. Helps consistency across machine-readable and human-readable layers.                                                                                    | Schema says “Healthcare services at your doorstep in Dubai… lab tests, health packages, and medical services at home.” Visible top copy should say essentially the same.                 | Reuse schema facts in body copy.                                                     | Use the schema wording as the basis for intro/service blocks                                                                                      |
| **P3**   | Reduce JS/config noise around key messages                      | Helps text-to-noise ratio, but lower priority than messaging alignment.                                                                                                   | A lot of useful content is embedded in Next.js/app output rather than simple editorial HTML.                                                                                             | Ensure hero, service summary, trust strip, and key sections are SSR plain text HTML. | Plain HTML sections for hero, services, proof                                                                                                     |
